Grade,Energy,Entropy,Correlation,Contrast,Homogeneity,Variance,Sum Mean,Inertia,Cluster Shade,Cluster Tendency,Max Probability,Inverse Variance,Short Run Emphasis (SRE),Long Run Emphasis (LRE),Gray-Level Nonuniformity (GLN),Run Length Nonuniformity (RLN),Run Percentage (RP),Low Gray-Level Run Emphasis (LGRE),High Gray-Level Run Emphasis (HGRE),Short Run Low Gray-Level Emphasis (SRLGE),Short Run High Gray-Level Emphasis (SRHGE),Long Run Low Gray-Level Emphasis (LRLGE),Long Run High Gray-Level Emphasis (LRHGE)
1,0.072159715,1.3885635,0.2071724,1.2511932,0.083850755,4.0885322,12.697921,1.2511932,-149.45996,2664.5942,0.14771825,0.4579964,3.59E-05,33359.0661,57378.0973,745.198407,0.937648773,0.973722149,2.17357998,3.50E-05,5.92E-05,32419.172,95507.9965
1,0.07037814,1.348125,0.3089989,1.372331,0.078543,2.248911,13.03106,1.372331,-46.13866,821.5556,0.1503214,0.4845111,2.90E-05,37344.3054,59363.4377,811.251416,0.967041016,0.975264881,1.10527521,2.83E-05,3.20E-05,36406.5297,41339.2006
1,0.068464057,1.400237,0.2389473,1.4559446,0.079873049,3.247174,13.00628,1.4559446,-94.027465,1627.1572,0.13959225,0.46819702,3.31E-05,35448.1061,59478.4507,635.175015,0.967632294,0.975752236,1.10349275,3.23E-05,3.63E-05,34549.6421,39296.234
1,0.076269339,1.3581556,0.23943655,1.400911,0.080078133,3.2867962,13.076371,1.400911,-114.69334,2064.6368,0.159433,0.47130996,3.34E-05,35297.1818,59405.0613,702.867263,0.966270447,0.975792506,1.12351941,3.26E-05,3.70E-05,34411.3805,40204.325
1,0.10415005,1.3113137,0.21865389,1.2267663,0.081178645,3.8438018,12.942686,1.2267663,-138.71222,2279.0699,0.25404553,0.41623766,3.46E-05,35894.06255,54647.49448,629.3356776,0.906299591,0.967676658,3.312813859,3.36E-05,7.82E-05,34548.59662,160743.3424
1,0.062985346,1.4608259,0.19084126,1.6382902,0.083154699,4.2234405,12.7314,1.6382902,-137.23329,2385.2604,0.15473748,0.47653915,3.62E-05,33490.9115,59982.5052,690.171503,0.970474243,0.977861294,1.09368869,3.54E-05,3.95E-05,32739.4449,36669.2101
1,0.065617244,1.4249788,0.20868719,1.6544143,0.082400823,3.7290461,12.845206,1.6544143,-128.42701,2343.7342,0.14434888,0.47748075,3.52E-05,33824.2012,59894.9423,731.902316,0.970096588,0.977475031,1.09463978,3.44E-05,3.83E-05,33044.7403,37105.191
1,0.04586639,1.5660191,0.16017014,1.9030697,0.085670342,5.0724853,12.499885,1.9030697,-150.80062,2713.4318,0.10354623,0.46924497,3.48E-05,34602.4941,59459.956,621.82183,0.964031219,0.976908398,1.19193413,3.41E-05,3.97E-05,33737.6472,43440.3757
1,0.040506695,1.637678,0.10861853,1.7552081,0.095814159,8.2240532,11.85399,1.7552081,-265.5927,4816.0929,0.095433502,0.46084066,4.78E-05,30779.9409,59431.941,525.504193,0.964237213,0.976577517,1.15331758,4.67E-05,5.36E-05,29978.6643,37123.08
1,0.06527553,1.6103088,0.098147213,1.6887766,0.10139202,9.2595495,11.457484,1.6887766,-254.46751,4810.1819,0.22208272,0.38212726,5.17E-05,28181.30137,50092.41353,390.4908759,0.830089569,0.967430145,9.800018898,5.03E-05,0.000215957,26965.15164,507623.801
