Grade,Short Run Emphasis (SRE),Long Run Emphasis (LRE),Gray-Level Nonuniformity (GLN),Run Length Nonuniformity (RLN),Run Percentage (RP),Low Gray-Level Run Emphasis (LGRE),High Gray-Level Run Emphasis (HGRE),Short Run Low Gray-Level Emphasis (SRLGE),Short Run High Gray-Level Emphasis (SRHGE),Long Run Low Gray-Level Emphasis (LRLGE),Long Run High Gray-Level Emphasis (LRHGE)
1,3.46E-05,33706.5976,59360.3534,719.187679,0.966228485,0.975506135,1.11693373,3.38E-05,3.82E-05,32849.5806,38054.6427
1,3.27E-05,33994.36,59565.4499,849.753454,0.968280792,0.97609026,1.1006245,3.20E-05,3.59E-05,33178.2974,37427.1448
1,3.09E-05,35357.9732,59380.847,900.793316,0.967273712,0.97530795,1.10395919,3.02E-05,3.40E-05,34477.1176,39063.9838
1,3.11E-05,35028.9816,59289.2689,865.520066,0.96672821,0.974932255,1.10589718,3.03E-05,3.43E-05,34140.2917,38786.6672
1,3.37E-05,33193.1408,59591.6233,826.579403,0.968360901,0.976220174,1.10063195,3.29E-05,3.71E-05,32402.9733,36537.7062
1,3.35E-05,34074.8907,59699.2365,834.633616,0.968940735,0.976671534,1.09872488,3.27E-05,3.68E-05,33273.5663,37465.9621
1,3.50E-05,31978.5222,59587.8672,840.214529,0.968318939,0.97621068,1.10088556,3.42E-05,3.85E-05,31216.7788,35202.5967
1,3.79E-05,33244.288,58697.6938,619.811006,0.956428528,0.974869972,1.30657116,3.70E-05,4.52E-05,32297.4145,48220.0176
1,4.66E-05,31572.97801,54487.48811,444.8486568,0.891136169,0.972988775,5.224639995,4.55E-05,0.000126151,30506.93575,261164.7881
1,4.54E-05,30567.65894,44955.27966,428.5242575,0.743694305,0.968307045,30.97684617,4.42E-05,0.000595218,29343.23783,1669812.417
1,4.62E-05,30794.92404,48954.9682,513.6494784,0.817455292,0.964509606,10.72217498,4.49E-05,0.000226323,29373.18804,560923.5862
1,3.34E-05,33901.8466,59314.0455,760.835666,0.96680069,0.97505105,1.10585037,3.26E-05,3.68E-05,33041.23,37553.9498
1,3.16E-05,34548.8308,59454.0994,795.919765,0.967597961,0.975638987,1.10315346,3.08E-05,3.47E-05,33697.1292,38152.9916
1,3.44E-05,34468.6423,59213.8751,635.403309,0.960769653,0.976587731,1.29978608,3.37E-05,4.12E-05,33592.3587,49182.8434
