Grade,Energy,Entropy,Correlation,Contrast,Homogeneity,Variance,Sum Mean,Inertia,Cluster Shade,Cluster Tendency,Max Probability,Inverse Variance
1,0.21152459,0.97646424,0.38787874,0.64634847,0.079034821,2.1991249,13.05137,0.64634847,-81.139407,1379.0053,0.39295164,0.26721607
1,0.091897696,1.3220591,0.26012965,1.2095487,0.084360515,3.0921319,12.325636,1.2095487,-88.402466,1382.5317,0.21574328,0.44591118
1,0.045817071,1.5882412,0.15065967,1.8146365,0.092626734,5.5531639,11.669478,1.8146365,-137.05453,2283.4663,0.10972954,0.44904749
1,0.080984911,1.3429591,0.27924436,1.1809183,0.083717363,2.8346872,12.336057,1.1809183,-66.451605,1007.9145,0.18543765,0.45002395
1,0.1046838,1.240809,0.3725414,1.067924,0.08123741,1.946433,12.55089,1.067924,-37.17234,568.3899,0.2422099,0.438381
1,0.1176261,1.205675,0.3499507,0.9926267,0.08111538,2.218002,12.66211,0.9926267,-61.06261,975.1856,0.268225,0.4233636
1,0.1218023,1.155005,0.4008269,1.017039,0.0822682,1.783114,12.51537,1.017039,-50.71956,929.4334,0.2330936,0.4331035
1,0.072159715,1.3885635,0.2071724,1.2511932,0.083850755,4.0885322,12.697921,1.2511932,-149.45996,2664.5942,0.14771825,0.4579964
1,0.07037814,1.348125,0.3089989,1.372331,0.078543,2.248911,13.03106,1.372331,-46.13866,821.5556,0.1503214,0.4845111
1,0.068464057,1.400237,0.2389473,1.4559446,0.079873049,3.247174,13.00628,1.4559446,-94.027465,1627.1572,0.13959225,0.46819702
1,0.076269339,1.3581556,0.23943655,1.400911,0.080078133,3.2867962,13.076371,1.400911,-114.69334,2064.6368,0.159433,0.47130996
1,0.10415005,1.3113137,0.21865389,1.2267663,0.081178645,3.8438018,12.942686,1.2267663,-138.71222,2279.0699,0.25404553,0.41623766
1,0.062985346,1.4608259,0.19084126,1.6382902,0.083154699,4.2234405,12.7314,1.6382902,-137.23329,2385.2604,0.15473748,0.47653915
1,0.065617244,1.4249788,0.20868719,1.6544143,0.082400823,3.7290461,12.845206,1.6544143,-128.42701,2343.7342,0.14434888,0.47748075
1,0.04586639,1.5660191,0.16017014,1.9030697,0.085670342,5.0724853,12.499885,1.9030697,-150.80062,2713.4318,0.10354623,0.46924497
1,0.040506695,1.637678,0.10861853,1.7552081,0.095814159,8.2240532,11.85399,1.7552081,-265.5927,4816.0929,0.095433502,0.46084066
1,0.06527553,1.6103088,0.098147213,1.6887766,0.10139202,9.2595495,11.457484,1.6887766,-254.46751,4810.1819,0.22208272,0.38212726
1,0.078342051,1.5077138,0.10547823,1.3225699,0.097122616,8.7656615,11.855667,1.3225699,-301.79265,5296.0997,0.23463327,0.38671242
1,0.067997365,1.3646894,0.28836014,1.389311,0.079544684,2.5072722,12.94335,1.389311,-59.402504,1073.1504,0.14219104,0.48291684
1,0.079028567,1.3605749,0.23953431,1.3491991,0.08017323,3.3281687,13.015767,1.3491991,-107.63937,1852.582,0.18376925,0.44380433
1,0.069736686,1.6036141,0.10832013,2.1331252,0.093913029,8.0015018,11.999443,2.1331252,-245.70682,4396.8946,0.23202177,0.38105679
1,0.070186965,1.413904,0.19912397,1.5191945,0.083128165,4.0891005,12.766906,1.5191945,-145.2616,2533.1348,0.16199539,0.47815895
1,0.1028775,1.212784,0.3699434,1.040202,0.07688445,2.000251,13.27838,1.040202,-50.23099,780.0582,0.184424,0.4650253
